Country,Year,OFR_change,Inflation_pct
Bhutan,2030,-2.038946161409149,-1.0194730807045689
Bhutan,2031,1.9598873854727739,0.9799436927364017
Bolivia (Plurinat.State),2027,0.0,0.0
Bolivia (Plurinat.State),2028,0.0,0.0
Bolivia (Plurinat.State),2029,0.0,0.0
Bolivia (Plurinat.State),2030,0.0,0.0
Bolivia (Plurinat.State),2031,0.0,0.0
Bosnia and Herzegovina,2027,1.4920375219986746,0.7460187609993354
Bosnia and Herzegovina,2028,1.0147433051661525,0.5073716525830787
Bosnia and Herzegovina,2029,0.6932854545693564,0.34664272728468787
Bosnia and Herzegovina,2030,0.47514141466714793,0.2375707073335689
Bosnia and Herzegovina,2031,0.3263343993140453,0.1631671996570266
Botswana,2027,0.039526461857101146,0.019763230928557696
Botswana,2028,0.016995045276657808,0.008497522638343278
Botswana,2029,0.007308942343092633,0.0036544711715402333
Botswana,2030,0.0031436110527977208,0.0015718055264000417
Botswana,2031,0.0013521384633459845,0.0006760692316618217
Brazil,2027,0.9317776712215811,0.46588883561078653
Brazil,2028,0.9005745280718269,0.4502872640359167
Brazil,2029,0.8706854813031638,0.4353427406515862
Brazil,2030,0.842037848860173,0.4210189244300931
Brazil,2031,0.8145641310674143,0.40728206553370266
British Indian Ocean Ter,2027,0.0,0.0
British Indian Ocean Ter,2028,0.0,0.0
British Indian Ocean Ter,2029,0.0,0.0
British Indian Ocean Ter,2030,0.0,0.0
British Indian Ocean Ter,2031,0.0,0.0
British Virgin Islands,2027,-0.008967152817379118,-0.004483576408683976
British Virgin Islands,2028,0.00896495650347554,0.004482478251737223
British Virgin Islands,2029,-0.00896115365954046,-0.004480576829762057
British Virgin Islands,2030,0.008958958277483798,0.004479479138752039
British Virgin Islands,2031,-0.008955158515018413,-0.004477579257516842
Brunei Darussalam,2027,0.0,0.0
Brunei Darussalam,2028,0.0,0.0
Brunei Darussalam,2029,0.0,0.0
Brunei Darussalam,2030,0.0,0.0
Brunei Darussalam,2031,0.0,0.0
Bulgaria,2027,0.0,0.0
Bulgaria,2028,0.0,0.0
Bulgaria,2029,0.0,0.0
Bulgaria,2030,0.0,0.0
Bulgaria,2031,0.0,0.0
Burkina Faso,2027,0.030175257935942456,0.015087628967987902
Burkina Faso,2028,0.013319172023122874,0.006659586011563855
Burkina Faso,2029,0.008810434858581373,0.004405217429275413
Burkina Faso,2030,0.003788417739518736,0.0018942088697555034
Burkina Faso,2031,0.002576726397366049,0.0012883631986739146
Burundi,2027,-0.259382059680096,-0.12969102984004757
Burundi,2028,0.17920787666025426,0.08960393833012777
Burundi,2029,-0.12395839665250472,-0.06197919832625422
Burundi,2030,0.08568784689709591,0.042843923448549856
Burundi,2031,-0.05925215773881008,-0.02962607886940845
CUW,2027,0.0,0.0
CUW,2028,0.0,0.0
CUW,2029,0.0,0.0
CUW,2030,0.0,0.0
CUW,2031,0.0,0.0
Cambodia,2027,7.606585207644656e-08,3.8032938329388164e-08
Cambodia,2028,-1.1486664620578842e-08,-5.743319631428009e-09
Cambodia,2029,1.7346002472590912e-09,8.673086430698749e-10
Cambodia,2030,-2.6194551063350637e-10,-1.3096538053267853e-10
Cambodia,2031,3.9553464296702394e-11,1.9792759601868385e-11
Cameroon,2027,2.588773197399827,1.2943865986999157
Cameroon,2028,2.523415482142484,1.2617077410712332
Cameroon,2029,2.4612758674807993,1.2306379337404045
Cameroon,2030,2.4021223837693744,1.2010611918846748
Cameroon,2031,2.34574483293416,1.1728724164670825
Canada,2027,-9.54796630325929e-07,-4.773983091504269e-07
Canada,2028,-2.2143391122448289e-07,-1.1071695222541888e-07
Canada,2029,-5.135436240039223e-08,-2.567717939244684e-08
Canada,2030,-1.1909966824835881e-08,-5.954979587715041e-09
Canada,2031,-2.762128283838174e-09,-1.3810643842102396e-09
Cape Verde,2027,-0.00016287041125713023,-8.143520561995403e-05
Cape Verde,2028,-4.436566796467555e-05,-2.218283398544031e-05
Cape Verde,2029,-1.2085130427231238e-05,-6.042565215260253e-06
Cape Verde,2030,-3.2919673285455714e-06,-1.6459836547639212e-06
Cape Verde,2031,-8.967258043446403e-07,-4.483628971257851e-07
Cayman Islands,2027,0.0,0.0
Cayman Islands,2028,0.0,0.0
Cayman Islands,2029,0.0,0.0
Cayman Islands,2030,0.0,0.0
Cayman Islands,2031,0.0,0.0
Central African Republic,2027,-0.003056232710452917,-0.0015281163552301495
Central African Republic,2028,-0.0023011313304831167,-0.0011505656652437113
Central African Republic,2029,-0.0017325792623224447,-0.0008662896311721261
Central African Republic,2030,-0.0013044947905555488,-0.0006522473952875216
Central African Republic,2031,-0.0009821769259046346,-0.0004910884629565703
Chad,2027,0.00037963297425118176,0.0001898164871279757
Chad,2028,-0.0001494403411473813,-7.472017056711831e-05
Chad,2029,5.881543042701409e-05,2.9407715219202278e-05
Chad,2030,-2.314607471242626e-05,-1.1573037346395508e-05
Chad,2031,9.108518063967691e-06,4.55425904138079e-06
Chile,2027,-0.05993314921239883,-0.02996657460620399
Chile,2028,-0.0346477606549591,-0.017323880327481302
Chile,2029,-0.020025039333732512,-0.010012519666863944
Chile,2030,-0.01157199032659967,-0.005785995163305009
Chile,2031,-0.006686610548881616,-0.003343305274436299
China,2027,2.0683609060292514,1.034180453014629
China,2028,2.026316665873318,1.013158332936645
China,2029,1.9859451277709237,0.992972563885459
China,2030,1.9471484177243301,0.973574208862162
China,2031,1.9098361514595577,0.9549180757297783
"China, Hong Kong SAR",2027,8.058746219086748e-05,4.029373108833702e-05
"China, Hong Kong SAR",2028,-1.9716483552579348e-05,-9.858241779396562e-06
"China, Hong Kong SAR",2029,4.268856532023774e-06,2.1344282582045454e-06
"China, Hong Kong SAR",2030,-7.0835003030119e-07,-3.5417501830275964e-07
"China, Hong Kong SAR",2031,2.262143829277576e-08,1.1310729145360627e-08
"China, Macao SAR",2027,0.0,0.0
"China, Macao SAR",2028,0.0,0.0
"China, Macao SAR",2029,0.0,0.0
"China, Macao SAR",2030,0.0,0.0
"China, Macao SAR",2031,0.0,0.0
Colombia,2027,1.0576300711821427,0.5288150355910726
Colombia,2028,-0.9742810922096428,-0.4871405461048293
Colombia,2029,0.915916459259861,0.4579582296299188
Colombia,2030,-0.8449203845899826,-0.42246019229498344
Colombia,2031,0.7932688734114534,0.3966344367057192
Comoros,2027,-0.14358701677084149,-0.07179350838541346
Comoros,2028,0.06482742740849745,0.032413713704237866
Comoros,2029,-0.0292076700068686,-0.014603835003435985
Comoros,2030,0.013171746247817105,0.006585873123906773
Comoros,2031,-0.005937528831785477,-0.0029687644158907112
"Congo, Dem. Rep. of the",2027,8.349651357519713e-06,4.174825675554965e-06
"Congo, Dem. Rep. of the",2028,-3.332267873674031e-06,-1.666133943253601e-06
"Congo, Dem. Rep. of the",2029,1.3298771367181264e-06,6.649385688046948e-07
"Congo, Dem. Rep. of the",2030,-5.307415744055788e-07,-2.653707986069953e-07
"Congo, Dem. Rep. of the",2031,2.1181402867735164e-07,1.0590702308593962e-07
"Congo, Republic of",2027,0.0,0.0
"Congo, Republic of",2028,0.0,0.0
"Congo, Republic of",2029,0.0,0.0
"Congo, Republic of",2030,0.0,0.0
"Congo, Republic of",2031,0.0,0.0
Cook Islands,2027,0.0,0.0
Cook Islands,2028,0.0,0.0
Cook Islands,2029,0.0,0.0
Cook Islands,2030,0.0,0.0
Cook Islands,2031,0.0,0.0
Costa Rica,2027,0.0,0.0
Costa Rica,2028,0.0,0.0
Costa Rica,2029,0.0,0.0
Costa Rica,2030,0.0,0.0
Costa Rica,2031,0.0,0.0
Croatia,2027,0.0,0.0
Croatia,2028,0.0,0.0
Croatia,2029,0.0,0.0
Croatia,2030,0.0,0.0
Croatia,2031,0.0,0.0
Cuba,2027,3.507710680752513e-05,1.7538553401967315e-05
Cuba,2028,1.091383937804515e-05,5.456919695470514e-06
Cuba,2029,3.3957167619606244e-06,1.6978583892067978e-06
Cuba,2030,1.0565386094256412e-06,5.282692934443473e-07
Cuba,2031,3.2873000345125613e-07,1.6436500518200755e-07
Cyprus,2027,0.0,0.0
