Country,Year,OFR_forecast,PriceIndex_forecast
Cape Verde,2022,3121.8823529411766,979.3704647742989
Cape Verde,2023,3163.8529411764707,986.1356969034156
Cape Verde,2024,3205.823529411765,992.9009290325322
Cape Verde,2025,3247.7941176470586,999.6661611616489
Cayman Islands,2019,25.36764705882353,402.3543970457806
Cayman Islands,2020,25.735294117647058,405.2912904548739
Cayman Islands,2021,26.102941176470587,408.22818386396716
Cayman Islands,2022,26.470588235294116,411.16507727306043
Cayman Islands,2023,26.83823529411765,414.1019706821538
Cayman Islands,2024,27.205882352941178,417.0388640912471
Cayman Islands,2025,27.573529411764707,419.97575750034036
Central African Republic,2019,2960.455882352941,614.8991280477245
Central African Republic,2020,3001.9117647058824,619.2347649538171
Central African Republic,2021,3043.3676470588234,623.5704018599098
Central African Republic,2022,3084.823529411765,627.9060387660024
Central African Republic,2023,3126.279411764706,632.2416756720949
Central African Republic,2024,3167.735294117647,636.5773125781875
Central African Republic,2025,3209.1911764705883,640.91294948428
Chad,2019,361.9632352941176,226.26478467300157
Chad,2020,365.75980392156856,227.45766637482717
Chad,2021,369.55637254901956,228.65054807665274
Chad,2022,373.35294117647055,229.8434297784783
Chad,2023,377.14950980392155,231.0363114803039
Chad,2024,380.9460784313725,232.22919318212948
Chad,2025,384.7426470588235,233.42207488395505
Chile,2019,2592.165810013326,825.0485483811603
Chile,2020,2628.2841550859825,830.8368455204997
Chile,2021,2664.4025001586397,836.6251426598392
Chile,2022,2700.5208452312963,842.4134397991786
Chile,2023,2736.6391903039535,848.2017369385181
Chile,2024,2772.75753537661,853.9900340778573
Chile,2025,2808.8758804492672,859.7783312171969
China,2019,8591.38941748648,1003.5556989074867
China,2020,8714.453032232661,1010.7950455385638
China,2021,8837.516646978842,1018.0343921696409
China,2022,8960.580261725023,1025.273738800718
China,2023,9083.643876471204,1032.5130854317954
China,2024,9206.707491217385,1039.7524320628727
China,2025,9329.771105963566,1046.99177869395
"China, Hong Kong SAR",2019,370.3431232692792,209.33652000230666
"China, Hong Kong SAR",2020,374.2611395485441,210.44973832460735
"China, Hong Kong SAR",2021,378.17915582780904,211.56295664690805
"China, Hong Kong SAR",2022,382.09717210707396,212.67617496920872
"China, Hong Kong SAR",2023,386.0151883863389,213.7893932915094
"China, Hong Kong SAR",2024,389.9332046656038,214.90261161381017
"China, Hong Kong SAR",2025,393.8512209448687,216.01582993611086
"China, Macao SAR",2019,29.591836734693878,66.85533578867157
"China, Macao SAR",2020,28.57142857142857,65.72219450411781
"China, Macao SAR",2021,27.551020408163264,64.58905321956405
"China, Macao SAR",2022,26.53061224489796,63.455911935010306
"China, Macao SAR",2023,25.51020408163265,62.32277065045655
"China, Macao SAR",2024,24.489795918367346,61.189629365902796
"China, Macao SAR",2025,23.46938775510204,60.05648808134904
Colombia,2019,1280.1283088235296,539.3975474511616
Colombia,2020,1297.231617647059,543.0251238150022
Colombia,2021,1314.3349264705882,546.6527001788429
Colombia,2022,1331.4382352941177,550.2802765426837
Colombia,2023,1348.5415441176472,553.9078529065243
Colombia,2024,1365.6448529411766,557.5354292703652
Colombia,2025,1382.748161764706,561.1630056342059
Comoros,2019,1589.1264529764,677.5066762619372
Comoros,2020,1610.7079957731596,682.1386564862639
Comoros,2021,1632.289538569919,686.7706367105905
Comoros,2022,1653.8710813666785,691.4026169349172
Comoros,2023,1675.4526241634378,696.034597159244
Comoros,2024,1697.0341669601974,700.6665773835707
Comoros,2025,1718.6157097569567,705.2985576078975
"Congo, Dem. Rep. of the",2019,561.1663286004057,282.29522331030057
"Congo, Dem. Rep. of the",2020,567.8498985801217,283.98638220743516
"Congo, Dem. Rep. of the",2021,574.5334685598377,285.6775411045697
"Congo, Dem. Rep. of the",2022,581.2170385395538,287.36870000170416
"Congo, Dem. Rep. of the",2023,587.9006085192698,289.0598588988387
"Congo, Dem. Rep. of the",2024,594.5841784989858,290.7510177959732
"Congo, Dem. Rep. of the",2025,601.2677484787018,292.44217669310774
"Congo, Republic of",2019,1429.9170168067226,411.80185986576936
"Congo, Republic of",2020,1449.1911764705883,414.5960747913972
"Congo, Republic of",2021,1468.4653361344538,417.3902897170251
"Congo, Republic of",2022,1487.7394957983192,420.18450464265305
"Congo, Republic of",2023,1507.013655462185,422.9787195682809
"Congo, Republic of",2024,1526.2878151260504,425.7729344939088
"Congo, Republic of",2025,1545.561974789916,428.56714941953663
Cook Islands,2019,644.0273109243697,484.3866499268553
Cook Islands,2020,651.9117647058823,487.3699440614906
Cook Islands,2021,659.7962184873949,490.35323819612586
Cook Islands,2022,667.6806722689075,493.3365323307612
